               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11701,             0.42729,            0.033616,             0.83962,            0.060215,            0.030767,           0.0090996,             0.10271,             0.39893,            0.013664,             0.07018,           0.0033134,           0.0033134
                   1,            0.098632,             0.44799,           0.0086332,             0.88444,            0.078817,            0.073828,            0.026366,            0.088768,             0.41219,           0.0067607,            0.040048,           0.0065151,           0.0065151
                   2,            0.092972,             0.46539,           0.0063748,             0.86939,            0.077183,            0.061968,            0.013717,             0.09544,             0.40068,           0.0055855,           0.0097844,           0.0095848,           0.0095848
                   3,            0.089591,             0.44227,           0.0061162,             0.93113,            0.095914,             0.11577,            0.056996,            0.078742,             0.40184,           0.0054602,            0.009406,            0.009406,            0.009406
                   4,            0.087485,             0.43315,           0.0062702,             0.90868,             0.11453,             0.11675,            0.057697,            0.079802,             0.38947,           0.0053222,            0.009406,            0.009406,            0.009406
                   5,            0.084086,              0.4333,           0.0058928,             0.93182,            0.088581,             0.11774,              0.0558,            0.084314,             0.39756,           0.0050779,            0.009208,            0.009208,            0.009208
                   6,            0.084178,             0.41693,           0.0054313,             0.94994,             0.11535,              0.1577,            0.085554,            0.072329,             0.36758,           0.0049012,             0.00901,             0.00901,             0.00901
                   7,            0.080774,             0.41492,           0.0051805,             0.94813,             0.10779,             0.15189,            0.072788,            0.077408,              0.3748,           0.0045719,            0.008812,            0.008812,            0.008812
                   8,            0.081091,             0.42704,           0.0048166,             0.94459,             0.10932,              0.1524,            0.069302,            0.075414,             0.37159,           0.0044302,            0.008614,            0.008614,            0.008614
                   9,            0.080531,              0.4062,           0.0047475,            0.081507,              0.3214,             0.15308,            0.083075,            0.071823,             0.36774,           0.0042167,            0.008416,            0.008416,            0.008416
                  10,            0.077998,             0.41546,           0.0047977,             0.96063,             0.11434,             0.16976,            0.097815,             0.06953,             0.35656,           0.0039723,            0.008218,            0.008218,            0.008218
                  11,            0.077933,             0.39837,           0.0043372,             0.50715,             0.24186,             0.17754,            0.092066,             0.07323,             0.35851,           0.0039499,             0.00802,             0.00802,             0.00802
                  12,            0.076337,             0.39901,           0.0043771,             0.70686,              0.2058,             0.20074,              0.1176,            0.066991,             0.34578,           0.0036648,            0.007822,            0.007822,            0.007822
                  13,            0.074936,             0.39123,            0.004062,             0.75371,             0.20296,              0.2007,             0.10388,             0.06969,             0.35539,           0.0035733,            0.007624,            0.007624,            0.007624
                  14,              0.0758,             0.38759,           0.0040269,             0.77452,             0.22087,              0.2182,              0.1145,            0.067722,             0.34907,           0.0035103,            0.007426,            0.007426,            0.007426
                  15,            0.074529,             0.39199,           0.0036286,             0.79108,              0.2176,             0.22473,             0.12139,            0.065533,             0.33669,           0.0031504,            0.007228,            0.007228,            0.007228
                  16,            0.075187,             0.39089,           0.0035205,              0.8054,              0.2045,             0.21802,             0.11326,             0.06556,             0.34375,           0.0030026,             0.00703,             0.00703,             0.00703
                  17,            0.073673,             0.38511,            0.002935,             0.79826,             0.20927,             0.24142,             0.13848,            0.065808,             0.33451,           0.0026881,            0.006832,            0.006832,            0.006832
                  18,            0.073052,             0.39545,           0.0028386,             0.81912,             0.21434,             0.22984,             0.12386,            0.066575,             0.34183,           0.0028044,            0.006634,            0.006634,            0.006634
                  19,            0.071748,             0.38487,           0.0029316,             0.86283,             0.20768,             0.24881,             0.14163,            0.064577,             0.33861,           0.0028622,            0.006436,            0.006436,            0.006436
                  20,            0.071743,              0.3732,           0.0032955,             0.85097,             0.20819,             0.24151,             0.14305,            0.063071,             0.32714,           0.0026202,            0.006238,            0.006238,            0.006238
                  21,            0.071718,             0.38277,           0.0025298,             0.85954,             0.21219,             0.26323,             0.15412,            0.064514,             0.33249,           0.0023705,             0.00604,             0.00604,             0.00604
                  22,              0.0714,             0.37792,           0.0026749,             0.87292,             0.21334,             0.28307,             0.17513,            0.062999,             0.32661,           0.0024123,            0.005842,            0.005842,            0.005842
                  23,            0.071231,             0.37877,           0.0024124,             0.86479,             0.21131,             0.28203,             0.17256,            0.064832,             0.33298,           0.0024299,            0.005644,            0.005644,            0.005644
                  24,            0.069573,             0.37044,            0.002427,             0.87642,             0.21433,             0.26065,             0.15657,            0.064259,             0.32889,            0.002325,            0.005446,            0.005446,            0.005446
                  25,            0.070221,             0.37105,           0.0023483,             0.90111,             0.20969,             0.26104,             0.15476,            0.063683,             0.32533,           0.0021481,            0.005248,            0.005248,            0.005248
                  26,            0.069344,             0.36072,           0.0023896,             0.86403,             0.22463,             0.27975,             0.17142,            0.062117,             0.32768,           0.0021977,             0.00505,             0.00505,             0.00505
                  27,            0.068117,             0.36567,           0.0023078,             0.88484,             0.21351,             0.29164,             0.18471,            0.061813,             0.32571,           0.0021777,            0.004852,            0.004852,            0.004852
                  28,            0.067577,             0.36025,           0.0021629,             0.88002,             0.21953,             0.26864,             0.16521,            0.061624,             0.32409,           0.0021169,            0.004654,            0.004654,            0.004654
                  29,            0.068119,             0.35544,           0.0021896,             0.88224,             0.22167,             0.26405,             0.16288,             0.06142,              0.3169,           0.0020888,            0.004456,            0.004456,            0.004456
                  30,            0.068382,             0.36516,           0.0020451,             0.91357,             0.20943,             0.27208,             0.17242,            0.061288,             0.31933,           0.0021795,            0.004258,            0.004258,            0.004258
                  31,            0.066942,             0.35765,           0.0021145,             0.90232,             0.21706,             0.27182,             0.16805,            0.061148,             0.31994,           0.0020114,             0.00406,             0.00406,             0.00406
                  32,            0.067598,             0.36302,           0.0019448,             0.88197,             0.23239,             0.29929,             0.19732,            0.060415,             0.31504,           0.0020938,            0.003862,            0.003862,            0.003862
                  33,            0.066764,              0.3553,           0.0019802,              0.8871,             0.22992,             0.26856,             0.16776,            0.060672,             0.31279,           0.0019959,            0.003664,            0.003664,            0.003664
                  34,            0.067233,             0.36277,           0.0018889,             0.88966,              0.2267,             0.26709,              0.1713,            0.059499,             0.31107,           0.0019727,            0.003466,            0.003466,            0.003466
                  35,            0.066013,             0.34661,             0.00191,              0.8901,              0.2268,             0.26775,             0.17102,            0.059806,             0.31072,           0.0019338,            0.003268,            0.003268,            0.003268
                  36,            0.066264,             0.35675,           0.0018173,             0.88991,             0.22627,             0.26922,             0.17074,            0.059839,             0.31418,           0.0019218,             0.00307,             0.00307,             0.00307
                  37,            0.065903,             0.35136,           0.0016937,             0.90738,             0.21801,             0.27209,              0.1757,            0.059171,             0.31293,           0.0018639,            0.002872,            0.002872,            0.002872
                  38,            0.065206,             0.35339,           0.0017784,             0.89859,             0.22436,             0.29215,             0.19175,            0.058954,             0.30934,            0.001945,            0.002674,            0.002674,            0.002674
                  39,            0.064398,             0.33965,            0.001758,             0.88968,             0.22546,             0.27173,             0.17784,            0.059142,             0.30899,           0.0017298,            0.002476,            0.002476,            0.002476
                  40,            0.064603,             0.34592,           0.0018037,             0.89633,             0.22131,             0.26757,             0.17726,            0.058611,             0.31002,           0.0017535,            0.002278,            0.002278,            0.002278
                  41,             0.06316,             0.33159,           0.0016527,             0.89104,             0.23176,             0.27271,              0.1808,            0.058295,              0.3071,           0.0016646,             0.00208,             0.00208,             0.00208
                  42,            0.064513,             0.34732,           0.0016694,             0.91822,             0.21858,             0.26897,             0.18115,            0.057938,             0.30682,           0.0016853,            0.001882,            0.001882,            0.001882
                  43,            0.063437,             0.33953,           0.0015152,              0.9061,             0.22233,             0.26714,             0.18103,            0.057778,              0.3054,           0.0015894,            0.001684,            0.001684,            0.001684
                  44,            0.062542,             0.32062,           0.0015749,             0.89467,             0.23217,              0.2905,             0.19343,            0.057885,             0.30416,           0.0016033,            0.001486,            0.001486,            0.001486
                  45,            0.063538,             0.33907,           0.0016376,             0.89694,              0.2304,             0.28035,             0.18952,            0.057866,             0.30738,           0.0016691,            0.001288,            0.001288,            0.001288
                  46,            0.063275,              0.3365,           0.0015882,             0.91382,             0.22003,             0.27082,             0.18342,            0.057475,             0.30513,           0.0016503,             0.00109,             0.00109,             0.00109
                  47,            0.062723,             0.33311,           0.0019736,             0.91593,             0.22171,             0.28331,             0.19199,            0.057609,             0.30503,           0.0016103,            0.000892,            0.000892,            0.000892
                  48,             0.06276,             0.33409,           0.0013572,             0.90352,             0.22358,             0.28142,             0.19268,            0.057614,             0.30684,           0.0016034,            0.000694,            0.000694,            0.000694
                  49,            0.062534,             0.33275,           0.0015794,             0.90036,             0.23023,             0.28139,             0.19409,            0.057466,             0.30471,           0.0016162,            0.000496,            0.000496,            0.000496
